,sentence,prior
0,Someone who has fought in a war is a veteran.,0.03888958400162129
1,Someone who has fought in a war is a veterinarian.,0.02057692500932925
2,Someone who has fought in a war is a rhinestone.,0.017043299914867818
3,Someone who has fought in a war is a veterans.,0.023003815088402445
4,The woman brought her sick pet dog to a veterinarian.,0.01138268165829592
5,The woman brought her sick pet dog to a veteran.,0.003476067022430298
6,The woman brought her sick pet dog to a carton.,0.005422078248491993
7,The woman brought her sick pet dog to a veterinarians.,0.006066853714033031
8,The vintage wedding dress was big and required an alteration.,0.005312360207338996
9,The vintage wedding dress was big and required an altercation.,0.0029959412976365133
10,The vintage wedding dress was big and required an inferno.,0.0034291685569545842
11,The vintage wedding dress was big and required an alterations.,0.003933933349208101
12,Mediators prevented the dispute from escalating into a violent altercation.,0.025306206456904855
13,Mediators prevented the dispute from escalating into a violent alteration.,0.009257051356887711
14,Mediators prevented the dispute from escalating into a violent muskrat.,0.010418688147850639
15,Mediators prevented the dispute from escalating into a violent altercations.,0.023825887389186805
16,The storyteller could turn any incident into an amusing anecdote.,0.013486449330636393
17,The storyteller could turn any incident into an amusing antidote.,0.006707400692065687
18,The storyteller could turn any incident into an amusing hearse.,0.009441966729550019
19,The storyteller could turn any incident into an amusing anecdotes.,0.00856087900747796
20,She saved him from the poison by administering an antidote.,0.019184573132070778
21,She saved him from the poison by administering an anecdote.,0.00503852076824367
22,She saved him from the poison by administering a matinee.,0.013462246099685321
23,She saved him from the poison by administering an antidotes.,0.015135858578893348
24,Clownfish have evolved invulnerability to the poison tentacles of anemones.,0.006427796871643742
25,Clownfish have evolved invulnerability to the poison tentacles of amenities.,0.0023859510689689147
26,Clownfish have evolved invulnerability to the poison tentacles of ornaments.,0.006408928817044217
27,Clownfish have evolved invulnerability to the poison tentacles of anemone.,0.005454563085275166
28,The upscale apartment was complete with all these modern amenities.,0.006874459052641453
29,The upscale apartment was complete with all these modern anemones.,0.004567742183015781
30,The upscale apartment was complete with all these modern lymph.,0.0007508386883808097
31,The upscale apartment was complete with all these modern amenity.,0.0038225034846076024
32,The flooded river fertilized the fields with a rich sediment.,0.007248868265916877
33,The flooded river fertilized the fields with a rich sentiment.,0.003447636494873607
34,The flooded river fertilized the fields with a rich juggler.,0.0024211576088777106
35,The flooded river fertilized the fields with a rich sediments.,0.008149293929755542
36,Political corruption and economic hardship fueled a growing anti-government sentiment.,0.0168430849050536
37,Political corruption and economic hardship fueled a growing anti-government sediment.,0.005060448403368549
38,Political corruption and economic hardship fueled a growing anti-government dalmatian.,0.008080498783656314
39,Political corruption and economic hardship fueled a growing anti-government sentiments.,0.009607770446572985
40,Up on the tree branch perched a bright red cardinal.,0.0031802958266603466
41,Up on the tree branch perched a bright red carnival.,0.004021050924378504
42,Up on the tree branch perched a bright red masquerade.,0.003702709204662111
43,Up on the tree branch perched a bright red cardinals.,0.0026994024998516523
44,There is a beanbag toss game booth at this carnival.,0.005172288390539962
45,There is a beanbag toss game booth at this cardinal.,0.0013908916155070485
46,There is a beanbag toss game booth at this destruction.,0.0014786068260902877
47,There is a beanbag toss game booth at this carnivals.,0.0027573319681477625
48,The reagents reacted faster in the presence of a catalyst.,0.011685041908374522
