item,condition,sentence
1,Control,Someone who has fought in a war is a veteran.
1,SemCrit,Someone who has fought in a war is a veterinarian.
1,Sem,Someone who has fought in a war is a rhinestone.
1,Synt,Someone who has fought in a war is a veterans.
2,Control,The woman brought her sick pet dog to a veterinarian.
2,SemCrit,The woman brought her sick pet dog to a veteran.
2,Sem,The woman brought her sick pet dog to a carton.
2,Synt,The woman brought her sick pet dog to a veterinarians.
3,Control,The vintage wedding dress was big and required an alteration.
3,SemCrit,The vintage wedding dress was big and required an altercation.
3,Sem,The vintage wedding dress was big and required an inferno.
3,Synt,The vintage wedding dress was big and required an alterations.
4,Control,Mediators prevented the dispute from escalating into a violent altercation.
4,SemCrit,Mediators prevented the dispute from escalating into a violent alteration.
4,Sem,Mediators prevented the dispute from escalating into a violent muskrat.
4,Synt,Mediators prevented the dispute from escalating into a violent altercations.
5,Control,The storyteller could turn any incident into an amusing anecdote.
5,SemCrit,The storyteller could turn any incident into an amusing antidote.
5,Sem,The storyteller could turn any incident into an amusing hearse.
5,Synt,The storyteller could turn any incident into an amusing anecdotes.
6,Control,She saved him from the poison by administering an antidote.
6,SemCrit,She saved him from the poison by administering an anecdote.
6,Sem,She saved him from the poison by administering a matinee.
6,Synt,She saved him from the poison by administering an antidotes.
7,Control,Clownfish have evolved invulnerability to the poison tentacles of anemones.
7,SemCrit,Clownfish have evolved invulnerability to the poison tentacles of amenities.
7,Sem,Clownfish have evolved invulnerability to the poison tentacles of ornaments.
7,Synt,Clownfish have evolved invulnerability to the poison tentacles of anemone.
8,Control,The upscale apartment was complete with all these modern amenities.
8,SemCrit,The upscale apartment was complete with all these modern anemones.
8,Sem,The upscale apartment was complete with all these modern lymph.
8,Synt,The upscale apartment was complete with all these modern amenity.
9,Control,The flooded river fertilized the fields with a rich sediment.
9,SemCrit,The flooded river fertilized the fields with a rich sentiment.
9,Sem,The flooded river fertilized the fields with a rich juggler.
9,Synt,The flooded river fertilized the fields with a rich sediments.
10,Control,Political corruption and economic hardship fueled a growing anti-government sentiment.
10,SemCrit,Political corruption and economic hardship fueled a growing anti-government sediment.
10,Sem,Political corruption and economic hardship fueled a growing anti-government dalmatian.
10,Synt,Political corruption and economic hardship fueled a growing anti-government sentiments.
11,Control,Up on the tree branch perched a bright red cardinal.
11,SemCrit,Up on the tree branch perched a bright red carnival.
11,Sem,Up on the tree branch perched a bright red masquerade.
11,Synt,Up on the tree branch perched a bright red cardinals.
12,Control,There is a beanbag toss game booth at this carnival.
12,SemCrit,There is a beanbag toss game booth at this cardinal.
12,Sem,There is a beanbag toss game booth at this destruction.
12,Synt,There is a beanbag toss game booth at this carnivals.
13,Control,The reagents reacted faster in the presence of a catalyst.
13,SemCrit,The reagents reacted faster in the presence of a callus.
13,Sem,The reagents reacted faster in the presence of an anecdote.
13,Synt,The reagents reacted faster in the presence of a catalysts.
14,Control,"After hours of playing, the guitarist's fingertips developed a callus."
14,SemCrit,"After hours of playing, the guitarist's fingertips developed a catalyst."
14,Sem,"After hours of playing, the guitarist's fingertips developed a pasture."
14,Synt,"After hours of playing, the guitarist's fingertips developed a calluses."
15,Control,Pikemen can be an effective defense against a charging cavalry.
15,SemCrit,Pikemen can be an effective defense against a charging cavity.
15,Sem,Pikemen can be an effective defense against a charging stipulation.
15,Synt,Pikemen can be an effective defense against a charging cavalries.
16,Control,The dentist congratulated me on not having a single cavity.
16,SemCrit,The dentist congratulated me on not having a single cavalry.
16,Sem,The dentist congratulated me on not having a single petal.
16,Synt,The dentist congratulated me on not having a single cavities.
17,Control,After my root canal the dentist prescribed a pain medication.
17,SemCrit,After my root canal the dentist prescribed a pain meditation.
17,Sem,After my root canal the dentist prescribed a pain balcony.
17,Synt,After my root canal the dentist prescribed a pain medications.
18,Control,The monk sat quietly and fell into a deep meditation.
18,SemCrit,The monk sat quietly and fell into a deep medication.
18,Sem,The monk sat quietly and fell into a deep arsenal.
18,Synt,The monk sat quietly and fell into a deep meditations.
19,Control,Her grandmother's pennies inspired her to start a coin collection.
19,SemCrit,Her grandmother's pennies inspired her to start a coin correction.
19,Sem,Her grandmother's pennies inspired her to start a coin parasol.
19,Synt,Her grandmother's pennies inspired her to start a coin collections.
20,Control,The teacher interrupted his sentence to make a grammatical correction.
20,SemCrit,The teacher interrupted his sentence to make a grammatical collection.
20,Sem,The teacher interrupted his sentence to make a grammatical mercenary.
20,Synt,The teacher interrupted his sentence to make a grammatical corrections.
21,Control,An intense tension headache can be mistaken for a migraine.
21,SemCrit,An intense tension headache can be mistaken for a migrant.
21,Sem,An intense tension headache can be mistaken for an empire.
21,Synt,An intense tension headache can be mistaken for a migraines.
22,Control,Harvesting crops is often the job of a seasonal migrant.
22,SemCrit,Harvesting crops is often the job of a seasonal migraine.
22,Sem,Harvesting crops is often the job of a seasonal massage.
22,Synt,Harvesting crops is often the job of a seasonal migrants.
23,Control,"The zoo had two giraffes, an elephant, and a rhino."
23,SemCrit,"The zoo had two giraffes, an elephant, and a rhinestone."
23,Sem,"The zoo had two giraffes, an elephant, and a carburetor."
23,Synt,"The zoo had two giraffes, an elephant, and a rhinos."
24,Control,The child wore a glittery crown with a pink rhinestone.
24,SemCrit,The child wore a glittery crown with a pink rhino.
24,Sem,The child wore a glittery crown with a pink captain.
24,Synt,The child wore a glittery crown with a pink rhinestones.
25,Control,The cause of death must be determined by a coroner.
25,SemCrit,The cause of death must be determined by a corridor.
25,Sem,The cause of death must be determined by a dynasty.
25,Synt,The cause of death must be determined by a coroners.
26,Control,His office is down at the end of this corridor.
26,SemCrit,His office is down at the end of this coroner.
26,Sem,His office is down at the end of this arsenic.
26,Synt,His office is down at the end of this corridors.
27,Control,Statisticians emphasize that causation is not implied by a correlation.
27,SemCrit,Statisticians emphasize that causation is not implied by a coronation.
27,Sem,Statisticians emphasize that causation is not implied by a hypotenuse.
27,Synt,Statisticians emphasize that causation is not implied by a correlations.
28,Control,The king knelt to be crowned at an official coronation.
28,SemCrit,The king knelt to be crowned at an official correlation.
28,Sem,The king knelt to be crowned at an official parasite.
28,Synt,The king knelt to be crowned at an official coronations.
29,Control,The moth attracted a mate by releasing a potent pheromone.
