item,sentence,condition
1,The student is going to the library to borrow a book.,best
2,"Living alone is too expensive, so the students will share a flat.",best
3,"The family enjoyed the sunny day, but there will be rain.",best
4,Jack studied medicine in a university and works as a doctor.,best
5,"Amelia got a driving licence, and will buy her own car.",best
6,"Oliver doesn't have a watch, so he doesn't know the time.",best
7,Rachel will go to the cinema to watch a new film.,best
8,Paul is trying to stand on one leg.,best
9,"The gambler kept losing, so he doesn't have any money.",best
10,Harry intends to propose to Emily and give her the ring.,best
11,John nervously asked the attractive girl out on a date.,best
12,"As a lifetime vegetarian, Olivia doesn't miss eating meat.",best
13,"Dylan got lost today, so he will use a map.",best
14,"The comedian was funny, despite a bad joke.",best
15,Jacob found he misspelled the word.,best
16,"Oscar opened the postbox, and found a letter.",best
17,"After struggling with the question, Jessica got the answer.",best
18,"At the airport, James checked in for his flight.",best
19,The lottery gave Emily a car as a prize.,best
20,"Sophie couldn't recall the recent event, and blamed her bad memory.",best
21,"The shoes were small, so Lily asked for the largest size.",best
22,"To view the D image, people wore special glasses.",best
23,"At the football match, Bob scored a goal.",best
24,Grace put too much dressing on her salad.,best
25,Chloe couldn't afford the necklace because of its high price.,best
26,The family went to the sea to catch some fish.,best
27,"Noah missed the final bus, and needed to take a taxi.",best
28,The workers reported the difficult problem to their boss.,best
29,Freya had a serious car accident and is afraid of driving.,best
30,The man was convicted for murder and is in prison.,best
31,"Beth loved cooking, and has become a world famous chef.",best
32,Kyle asked the dentist to pull out the painful tooth.,best
33,"Having high blood pressure, George reduced his intake of salt.",best
34,Children were excited to see the first snow this winter.,best
35,"To see the new-born panda, Lucy will go to the zoo.",best
36,The country girl was overwhelmed to see streets full of people.,best
37,Daisy is nine months pregnant and will have her first baby.,best
38,Students at the train station are rushing to buy a ticket.,best
39,"Feeling stressed at his workplace, Max relaxed at home.",best
40,"Isabella dyed her hair, but she doesn't like the colour.",best
41,"For parking illegally, William was charged a fine.",best
42,Jim will go swimming and get a suntan at the beach.,best
43,The house is haunted by ghosts.,best
44,The ju ice.,best
45,"The restaurant is always busy, so Leo will book a table.",best
46,The baby is hungry and needs to drink some milk.,best
47,"Before sending the letter, Daniel licked a stamp.",best
48,The waiter got a generous tip because of his good service.,best
49,"For their mother's birthday, the children will hold a party.",best
50,"Only one cake is left, so Lilly doesn't have a choice.",best
51,The men are watching football and drinking beer in the pub.,best
52,The plane crash was avoided by the experienced pilot.,best
53,The bus driver charged Rosie a regular fare.,best
54,Henry was seriously injured but the doctor saved his life.,best
55,Joseph used a lighter to make a fire.,best
56,The famous dancer performed on the stage.,best
57,The girls are going to have cocktails and dance in a club.,best
58,The supporters wished the team good luck.,best
59,"The cricket player wants his own glove, ball and bat.",best
60,Hannah bought a calendar and hung it on the wall.,best
61,The man with the history of self-harm cut his wrist.,best
62,Susan felt tears coming as she sliced the onion.,best
63,The woman was hit by a truck when crossing the road.,best
64,Tyler knows many cocktail recipes because he works in a bar.,best
65,"Kate didn't like coffee, so she ordered a cup of tea.",best
66,Sam plays guitar in a popular band.,best
67,"As the trousers were loose, Tony tightened up his belt.",best
68,Meg will go to the park to walk her dog.,best
69,The terrorist shot and killed five people using a gun.,best
70,The mole was digging a hole.,best
71,"The horse went outside the course, and didn't win the race.",best
72,"Emma loves a bargain, and everything she bought was on sale.",best
73,The king's throne was taken by his first-born son.,best
74,The camp leader taught children how to pitch a tent.,best
75,He enjoys hiking in the woods because of the fresh air.,best
76,All the colleagues have savings accounts at the same bank.,best
77,Ben went to the gym to swim in the pool.,best
78,Adam keeps different breeds of cows in his farm.,best
79,"For relaxation, Matilda soaked in a hot bath.",best
80,Lewis lost his memory because of the damage to his brain.,best
81,"After shuffling, the croupier asked the guest to select one card.",best
82,Nobody knows the time as this room has no clock.,best
83,Ryan refused to invest to avoid taking a risk.,best
84,The client immediately signed the contract because it was a good deal.,best
85,"By closely examining a painting, one can see all the detail.",best
86,"Toby used to walk to school, but now he takes a bus.",best
87,"In the class, Bella whispered in her friend's ear.",best
88,Two dogs injured each other when they had a fight.,best
89,"To make meringue, she separated the whites from five eggs.",best
90,"To make two groups, the lecturer split the class in half.",best
91,Seeing buds on trees heralds the arrival of spring.,best
92,The store was so busy that the clerk needed help.,best
93,"The solution didn't work, and Harley lost all hope.",best
94,"To remember to buy everything she wanted, Gracie made a list.",best
95,The computer pointer doesn't move though Tommy is moving the mouse.,best
96,Katie looks much younger than her actual age.,best
97,"After the meal, Matthew asked a waiter to bring the bill.",best
98,"Hearing the noise outside the classroom, the lecturer closed the door.",best
99,Elizabeth doesn't believe Matt since he has told lies.,best
100,The thief stole the bike easily as it had no lock.,best
101,Anna brings a sandwich and a salad for her lunch.,best
102,People saw the first spaceship that landed on the moon.,best
103,Children made a wish when they saw a shooting star.,best
104,Maya got a cold and has a runny nose.,best
105,The country has no war and people live in peace.,best
106,"To make the garden more green, Amy is growing various plants.",best
107,"To prevent spreading her cold, Jane is wearing a mask.",best
108,The leaking rain was due to a hole in the roof.,best
109,The fisherman was trying to catch fish in a net.,best
110,The plant lacks sunlight because it's placed in the shade.,best
111,Sophia cannot find a suitable lotion because of her delicate skin.,best
112,The driver was stopped as he exceeded the specified speed.,best
113,Conner went down the stairs and sat on the bottom step.,best
114,"With a high salary, he needs to pay more tax.",best
115,"Tilly's sister did the cleaning today, so tomorrow it's her turn.",best
116,There was a recycling campaign to reduce the amount of waste.,best
117,Jamie bravely stopped the robbery without feeling any fear.,best
118,The attendees can't miss the meeting without a good excuse.,best
119,Frank will double-check the notification in case there is any change.,best
120,"Finishing his study abroad, David will return to his own country.",best
121,The businessman left his laptop on his desk.,best
122,"Rose couldn't eat noodles using chopsticks, so used a fork.",best
123,The bird cannot fly because it injured its wing.,best
124,"Eliza worried about her breath, so she took an extra mint.",best
125,Changing majors required students to fill out a twenty-page long form.,best
126,Violet left the dirty plates and cups in the sink.,best
127,"To increase her hair volume, the woman wears a wig.",best
128,Eleanor covered the old ugly floor with a large rug.,best
129,The room with bad ventilation got a ceiling fan.,best
130,"For a removal, Cameron packed the TV into its original box.",best
131,Selling drugs is against the law.,best
132,"The waiter wasn't polite, so he didn't receive a good tip.",best
133,"For Christmas, the children are hanging bells on the tree.",best
134,"To expand their market, the project team made a rough plan.",best
135,"Because of the storm, the ocean has big waves.",best
136,The sales staff forgot to attach the price tag.,best
137,"To make a pancake easily, Julia used a pancake mix.",best
138,The new variety show appointed the entertainer as a host.,best
139,Nigel's son should inherit the estate according to his will.,best
140,It's expected to snow as it will get very cold.,best
141,The explorer in the desert hopes to ride the camel.,best
142,"For the parade, the king's servants will refurbish the entire castle.",best
143,Making traditional Indian curry requires using several types of spice.,best
144,"To finish the cake, Scarlet spread the whipped cream.",best
145,Students learned how to convert kilometres to miles.,best
146,"To compress the air, the machine applies high pressure.",best
147,"Before exchanging money, Rebecca asks the exchange rate.",best
148,Lydia cannot eat anymore as she is so full.,best
149,Dogs have a good sense of smell.,best
150,Laura will eat the ice cream quickly before it melts.,best
151,"After the main course, Sara checked the dessert menu.",best
152,Andrew was late because his train had a delay.,best
153,The bomb expert pinpointed a switch to make the bomb explode.,best
154,Immigration exposed Lisa to a different culture.,best
155,The bridge was washed away by the flood.,best
156,The story was far from logical and didn't make any sense.,best
157,"Having no ink or paper, the office workers couldn't print.",best
158,"In the tennis lesson, Lauren hit the ball with her racket.",best
159,"Joe has grown his moustache, but will give it a shave.",best
160,It's so itchy that Chris can't help scratching the mosquito bite.,best
1,The student is going to the library to borrow a hook.,surface_related
2,"Living alone is too expensive, so the students will share a flag.",surface_related
3,"The family enjoyed the sunny day, but there will be pain.",surface_related
4,Jack studied medicine in a university and works as a factor.,surface_related
5,"Amelia got a driving licence, and will buy her own jar.",surface_related
6,"Oliver doesn't have a watch, so he doesn't know the lime.",surface_related
7,Rachel will go to the cinema to watch a new firm.,surface_related
8,Paul is trying to stand on one lag.,surface_related
9,"The gambler kept losing, so he doesn't have any honey.",surface_related
10,Harry intends to propose to Emily and give her the wing.,surface_related
11,John nervously asked the attractive girl out on a gate.,surface_related
12,"As a lifetime vegetarian, Olivia doesn't miss eating mean.",surface_related
13,"Dylan got lost today, so he will use a cap.",surface_related
14,"The comedian was funny, despite a bad coke.",surface_related
15,Jacob found he misspelled the lord.,surface_related
16,"Oscar opened the postbox, and found a litter.",surface_related
17,"After struggling with the question, Jessica got the dancer.",surface_related
18,"At the airport, James checked in for his sight.",surface_related
19,The lottery gave Emily a car as a price.,surface_related
20,"Sophie couldn't recall the recent event, and blamed her bad melody.",surface_related
21,"The shoes were small, so Lily asked for the largest sign.",surface_related
22,"To view the D image, people wore special classes.",surface_related
23,"At the football match, Bob scored a coal.",surface_related
24,Grace put too much dressing on her ballad.,surface_related
25,Chloe couldn't afford the necklace because of its high pride.,surface_related
26,The family went to the sea to catch some wish.,surface_related
27,"Noah missed the final bus, and needed to take a tax.",surface_related
28,The workers reported the difficult problem to their bass.,surface_related
29,Freya had a serious car accident and is afraid of thriving.,surface_related
30,The man was convicted for murder and is in poison.,surface_related
31,"Beth loved cooking, and has become a world famous shelf.",surface_related
32,Kyle asked the dentist to pull out the painful booth.,surface_related
33,"Having high blood pressure, George reduced his intake of malt.",surface_related
34,Children were excited to see the first snow this printer.,surface_related
35,"To see the new-born panda, Lucy will go to the loo.",surface_related
36,The country girl was overwhelmed to see streets full of purple.,surface_related
37,Daisy is nine months pregnant and will have her first bay.,surface_related
38,Students at the train station are rushing to buy a thicket.,surface_related
39,"Feeling stressed at his workplace, Max relaxed at dome.",surface_related
40,"Isabella dyed her hair, but she doesn't like the cutter.",surface_related
41,"For parking illegally, William was charged a line.",surface_related
42,Jim will go swimming and get a suntan at the peach.,surface_related
43,The house is haunted by boasts.,surface_related
44,"The juice isn't cold enough, so Alice is adding some dice.",surface_related
45,"The restaurant is always busy, so Leo will book a label.",surface_related
46,The baby is hungry and needs to drink some silk.,surface_related
47,"Before sending the letter, Daniel licked a stump.",surface_related
48,The waiter got a generous tip because of his good surface.,surface_related
49,"For their mother's birthday, the children will hold a pasty.",surface_related
50,"Only one cake is left, so Lilly doesn't have a voice.",surface_related
51,The men are watching football and drinking beer in the rub.,surface_related
52,The plane crash was avoided by the experienced pallet.,surface_related
53,The bus driver charged Rosie a regular care.,surface_related
54,Henry was seriously injured but the doctor saved his knife.,surface_related
55,Joseph used a lighter to make a hire.,surface_related
56,The famous dancer performed on the state.,surface_related
57,The girls are going to have cocktails and dance in a crab.,surface_related
58,The supporters wished the team good duck.,surface_related
59,"The cricket player wants his own glove, ball and rat.",surface_related
60,Hannah bought a calendar and hung it on the mall.,surface_related
61,The man with the history of self-harm cut his list.,surface_related
62,Susan felt tears coming as she sliced the union.,surface_related
63,The woman was hit by a truck when crossing the load.,surface_related
64,Tyler knows many cocktail recipes because he works in a war.,surface_related
65,"Kate didn't like coffee, so she ordered a cup of team.",surface_related
66,Sam plays guitar in a popular sand.,surface_related
67,"As the trousers were loose, Tony tightened up his beat.",surface_related
68,Meg will go to the park to walk her fog.,surface_related
69,The terrorist shot and killed five people using a gum.,surface_related
70,The mole was digging a pole.,surface_related
71,"The horse went outside the course, and didn't win the lace.",surface_related
72,"Emma loves a bargain, and everything she bought was on safe.",surface_related
73,The king's throne was taken by his first-born ton.,surface_related
74,The camp leader taught children how to pitch a cent.,surface_related
75,He enjoys hiking in the woods because of the fresh hair.,surface_related
76,All the colleagues have savings accounts at the same back.,surface_related
77,Ben went to the gym to swim in the tool.,surface_related
78,Adam keeps different breeds of cows in his harm.,surface_related
79,"For relaxation, Matilda soaked in a hot path.",surface_related
80,Lewis lost his memory because of the damage to his grain.,surface_related
81,"After shuffling, the croupier asked the guest to select one cart.",surface_related
82,Nobody knows the time as this room has no clerk.,surface_related
83,Ryan refused to invest to avoid taking a disc.,surface_related
84,The client immediately signed the contract because it was a good meal.,surface_related
85,"By closely examining a painting, one can see all the retail.",surface_related
86,"Toby used to walk to school, but now he takes a bug.",surface_related
87,"In the class, Bella whispered in her friend's rear.",surface_related
88,Two dogs injured each other when they had a light.,surface_related
89,"To make meringue, she separated the whites from five pegs.",surface_related
90,"To make two groups, the lecturer split the class in calf.",surface_related
91,Seeing buds on trees heralds the arrival of sprint.,surface_related
92,The store was so busy that the clerk needed heap.,surface_related
93,"The solution didn't work, and Harley lost all hose.",surface_related
94,"To remember to buy everything she wanted, Gracie made a lift.",surface_related
95,The computer pointer doesn't move though Tommy is moving the mouth.,surface_related
96,Katie looks much younger than her actual ace.,surface_related
97,"After the meal, Matthew asked a waiter to bring the pill.",surface_related
98,"Hearing the noise outside the classroom, the lecturer closed the donor.",surface_related
99,Elizabeth doesn't believe Matt since he has told pies.,surface_related
100,The thief stole the bike easily as it had no look.,surface_related
101,Anna brings a sandwich and a salad for her punch.,surface_related
102,People saw the first spaceship that landed on the mood.,surface_related
103,Children made a wish when they saw a shooting scar.,surface_related
104,Maya got a cold and has a runny pose.,surface_related
105,The country has no war and people live in peak.,surface_related
106,"To make the garden more green, Amy is growing various planets.",surface_related
107,"To prevent spreading her cold, Jane is wearing a task.",surface_related
108,The leaking rain was due to a hole in the root.,surface_related
109,The fisherman was trying to catch fish in a jet.,surface_related
110,The plant lacks sunlight because it's placed in the shape.,surface_related
111,Sophia cannot find a suitable lotion because of her delicate spin.,surface_related
112,The driver was stopped as he exceeded the specified speech.,surface_related
113,Conner went down the stairs and sat on the bottom stem.,surface_related
114,"With a high salary, he needs to pay more wax.",surface_related
115,"Tilly's sister did the cleaning today, so tomorrow it's her turf.",surface_related
116,There was a recycling campaign to reduce the amount of paste.,surface_related
117,Jamie bravely stopped the robbery without feeling any year.,surface_related
118,The attendees can't miss the meeting without a good excise.,surface_related
119,Frank will double-check the notification in case there is any range.,surface_related
120,"Finishing his study abroad, David will return to his own counter.",surface_related
121,The businessman left his laptop on his dusk.,surface_related
122,"Rose couldn't eat noodles using chopsticks, so used a fort.",surface_related
123,The bird cannot fly because it injured its ring.,surface_related
124,"Eliza worried about her breath, so she took an extra hint.",surface_related
125,Changing majors required students to fill out a twenty-page long norm.,surface_related
