,sentence,prior
0,The student is going to the library to borrow a book.,0.03938238080400958
1,"Living alone is too expensive, so the students will share a flat.",0.012809725126491506
2,"The family enjoyed the sunny day, but there will be rain.",0.014814983059079858
3,Jack studied medicine in a university and works as a doctor.,0.014104788079054653
4,"Amelia got a driving licence, and will buy her own car.",0.01773675190797036
5,"Oliver doesn't have a watch, so he doesn't know the time.",0.054265970821745224
6,Rachel will go to the cinema to watch a new film.,0.04140699589488612
7,Paul is trying to stand on one leg.,0.033967748805793986
8,"The gambler kept losing, so he doesn't have any money.",0.025828987588744134
9,Harry intends to propose to Emily and give her the ring.,0.013420988421473865
10,John nervously asked the attractive girl out on a date.,0.011215200970840838
11,"As a lifetime vegetarian, Olivia doesn't miss eating meat.",0.010109643982434005
12,"Dylan got lost today, so he will use a map.",0.004441035393447562
13,"The comedian was funny, despite a bad joke.",0.005880555157996796
14,Jacob found he misspelled the word.,0.00878400565798185
15,"Oscar opened the postbox, and found a letter.",0.006472739219831737
16,"After struggling with the question, Jessica got the answer.",0.01742260393174523
17,"At the airport, James checked in for his flight.",0.027330787666031683
18,The lottery gave Emily a car as a prize.,0.004512935814137952
19,"Sophie couldn't recall the recent event, and blamed her bad memory.",0.012806646987309602
20,"The shoes were small, so Lily asked for the largest size.",0.009032480505796374
21,"To view the D image, people wore special glasses.",0.0020678964575207375
22,"At the football match, Bob scored a goal.",0.013200389709329042
23,Grace put too much dressing on her salad.,0.005443265920466982
24,Chloe couldn't afford the necklace because of its high price.,0.014792366212848499
25,The family went to the sea to catch some fish.,0.02835715931079962
26,"Noah missed the final bus, and needed to take a taxi.",0.012952690402332816
27,The workers reported the difficult problem to their boss.,0.006641371923825649
28,Freya had a serious car accident and is afraid of driving.,0.013558654481461577
29,The man was convicted for murder and is in prison.,0.038671047358652504
30,"Beth loved cooking, and has become a world famous chef.",0.014815844932948326
31,Kyle asked the dentist to pull out the painful tooth.,0.00947082533762639
32,"Having high blood pressure, George reduced his intake of salt.",0.01668808951620138
33,Children were excited to see the first snow this winter.,0.024215606396081196
34,"To see the new-born panda, Lucy will go to the zoo.",0.01815226794913081
35,The country girl was overwhelmed to see streets full of people.,0.005579498784951723
36,Daisy is nine months pregnant and will have her first baby.,0.027449410534684828
37,Students at the train station are rushing to buy a ticket.,0.02773074201372093
38,"Feeling stressed at his workplace, Max relaxed at home.",0.007494958782624062
39,"Isabella dyed her hair, but she doesn't like the colour.",0.020466359121500667
40,"For parking illegally, William was charged a fine.",0.003709518273446743
41,Jim will go swimming and get a suntan at the beach.,0.02125055551706501
42,The house is haunted by ghosts.,0.027199795293567253
43,The ju ice.,4.323453156029014e-05
44,"The restaurant is always busy, so Leo will book a table.",0.008742553454656861
45,The baby is hungry and needs to drink some milk.,0.025345248959052585
